bits,entries,ipc,hit_rate,duration
1,1,0.384081,0.9214,3898535000
1,2,0.385055,0.917809,3888668000
1,3,0.385216,0.917451,3887044000
1,4,0.384929,0.91227,3889949000
1,5,0.385018,0.912133,3889043000
1,6,0.385025,0.911449,3888970000
1,7,0.385074,0.911754,3888481000
1,8,0.385078,0.911691,3888439000
